,Parameters,Accuracy,Loss
0,"(0.25, 1e-05, 2)",0.5821052601462916,1.0150066865117926
1,"(0.25, 1e-05, 3)",0.5810526327082985,1.0619752061994452
2,"(0, 1e-05, 2)",0.5799999942905024,1.0386838379659151
3,"(0.1, 1e-05, 3)",0.5794736790029626,1.0970749792299772
4,"(0.9, 0.0001, 1)",0.5784210499964262,1.0337722019145363
5,"(0.1, 1e-05, 2)",0.5773684194213465,1.0348515855638605
6,"(0.5, 1e-05, 3)",0.5768421104079798,1.0335498075736196
7,"(0.25, 1e-05, 4)",0.5742105261275643,1.1679851600998326
8,"(0.75, 0.0001, 1)",0.573684213977111,1.14287731522008
9,"(0.25, 1e-05, 5)",0.5710526249910656,1.2634757443478233
10,"(0.75, 0.001, 2)",0.5705263159776989,4.887982493952701
11,"(0.5, 1e-05, 2)",0.570000000690159,1.036196376148023
12,"(0.5, 0.0001, 3)",0.5689473669779929,3.8815327945508455
13,"(0, 1e-05, 3)",0.5673684242524599,1.1875887826869362
14,"(0.5, 0.0001, 4)",0.5668421026907469,4.472057053917332
15,"(0.75, 0.0001, 2)",0.5663157795604906,2.0337837244334973
16,"(0, 1e-05, 1)",0.564736838403501,1.0879853775626736
17,"(0.1, 1e-05, 5)",0.5642105262530478,1.421564177462929
18,"(0.9, 0.001, 1)",0.5636842046913347,2.87513898548327
19,"(0.1, 1e-05, 4)",0.5621052603972586,1.2214441393551074
20,"(0.5, 0.0001, 1)",0.5605263176717257,1.3100221439411766
21,"(0.25, 0.0001, 3)",0.5594736855281027,4.179633404079237
22,"(0.5, 1e-05, 4)",0.5594736823910161,1.0391123357572054
23,"(0.5, 0.0001, 2)",0.5584210502473932,2.8869348701677824
24,"(0.25, 1e-05, 1)",0.557368416535227,1.0980627599515413
25,"(0.75, 0.0001, 3)",0.5568420981106005,3.2028385400772095
26,"(0, 1e-05, 4)",0.5557894706726074,1.551643453146282
27,"(0.1, 1e-05, 1)",0.5542105232414446,1.0946699349503768
28,"(0.25, 0.0001, 1)",0.5515789420981156,1.4375616029689187
29,"(0.75, 0.001, 1)",0.5494736825164995,3.5638695641567835
30,"(0.1, 0.0001, 3)",0.5494736809479562,4.626695281580875
31,"(0.5, 0.001, 3)",0.5494736809479562,4.965394885916459
