,val_mean_absolute_error,val_loss
0,3.423397987,3.423397987
1,3.123897064,3.123897064
2,2.777851528,2.777851528
3,2.480229353,2.480229353
4,2.134293992,2.134293992
5,1.739090838,1.739090838
6,1.295192565,1.295192565
7,1.150921614,1.150921614
8,1.049721496,1.049721496
9,1.014120507,1.014120507
10,1.014386438,1.014386438
11,1.014720755,1.014720755
12,1.014384086,1.014384086
13,1.014013823,1.014013823
14,1.013883584,1.013883584
15,1.013011186,1.013011186
16,1.014081754,1.014081754
17,1.014628111,1.014628111
18,1.014616673,1.014616673
19,1.014817583,1.014817583
20,1.014733466,1.014733466
21,1.014206529,1.014206529
22,1.013502104,1.013502104
23,1.012816707,1.012816707
24,1.015004612,1.015004612
25,1.015703455,1.015703455
26,1.013413556,1.013413556
27,1.014169028,1.014169028
28,1.014478064,1.014478064
29,1.013329231,1.013329231
30,1.014071782,1.014071782
31,1.013211647,1.013211647
32,1.014690839,1.014690839
33,1.012639315,1.012639315
34,1.014495052,1.014495052
35,1.013328045,1.013328045
36,1.013269968,1.013269968
37,1.013049093,1.013049093
38,1.015566546,1.015566546
39,1.014653659,1.014653659
40,1.013517567,1.013517567
41,1.0142394,1.0142394
42,1.014079136,1.014079136
43,1.01462551,1.01462551
44,1.015633626,1.015633626
45,1.011940322,1.011940322
46,1.013251952,1.013251952
47,1.014113887,1.014113887
48,1.013283731,1.013283731
49,1.012075716,1.012075716
