,val_mean_absolute_error,val_loss
0,3.474180869,3.474180869
1,3.231745651,3.231745651
2,2.953731037,2.953731037
3,2.630116415,2.630116415
4,2.276472309,2.276472309
5,1.615881777,1.615881777
6,1.091266964,1.091266964
7,1.01155596,1.01155596
8,1.011463664,1.011463664
9,1.013137388,1.013137388
10,1.014680862,1.014680862
11,1.019495721,1.019495721
12,1.012848834,1.012848834
13,1.013933144,1.013933144
14,1.012440837,1.012440837
15,1.015635718,1.015635718
16,1.017545545,1.017545545
17,1.015365639,1.015365639
18,1.013847764,1.013847764
19,1.016816104,1.016816104
20,1.011425103,1.011425103
21,1.015450524,1.015450524
22,1.014444293,1.014444293
23,1.014045713,1.014045713
24,1.011866908,1.011866908
25,1.013746607,1.013746607
26,1.01596613,1.01596613
27,1.018733989,1.018733989
28,1.014728536,1.014728536
29,1.015479809,1.015479809
30,1.011900938,1.011900938
31,1.01750338,1.01750338
32,1.016865501,1.016865501
33,1.011385069,1.011385069
34,1.015723728,1.015723728
35,1.012581629,1.012581629
36,1.014461331,1.014461331
37,1.016369563,1.016369563
38,1.013160493,1.013160493
39,1.014998799,1.014998799
40,1.012132209,1.012132209
41,1.012777724,1.012777724
42,1.010095921,1.010095921
43,1.013094457,1.013094457
44,1.018327094,1.018327094
45,1.016589059,1.016589059
46,1.01379259,1.01379259
47,1.014651384,1.014651384
48,1.017300698,1.017300698
49,1.012432321,1.012432321
